Date,gu,dong,Actual,Predicted
2020-12-09,23,158,43900,48562.77380952381
2007-04-17,23,85,17000,17512.025452245354
2021-09-14,23,83,51400,46023.34310134311
2021-04-22,23,83,69000,76895.49743937977
2015-04-11,23,158,36300,33951.30443246756
2020-05-21,23,130,27450,27401.48894369747
2014-12-31,23,158,18500,17604.60161999378
2006-10-29,23,85,23800,21815.204192418103
2016-07-08,23,88,26350,29024.78070986784
2012-01-11,23,88,62270,59115.45216117696
2016-06-23,23,85,33700,30406.42416972395
2017-05-25,23,250,34500,33293.408280803014
2013-10-24,23,130,23500,24035.79225692312
2015-11-02,23,158,33000,30571.39599671473
2019-09-23,23,88,25900,26782.57797419818
2021-01-23,23,158,62500,60763.5873003505
2021-01-25,23,250,11800,11904.251906733482
2007-01-28,23,158,16400,23920.68175735218
2014-06-11,23,158,20000,21334.184470590506
2014-06-14,23,158,19200,17539.213828636774
2017-07-29,23,158,43000,42623.69018054958
2017-04-19,23,158,44700,44702.422374820024
2024-10-12,23,158,49000,47739.83625730994
2018-09-28,23,85,40000,40763.800576410904
2007-08-25,23,85,25000,24583.34002954303
2021-07-27,23,85,38050,37744.73665361138
2009-04-28,23,250,18500,24651.85907558806
2014-10-31,23,85,33200,31532.069880679795
2008-03-23,23,158,24000,22928.6424714522
2011-05-20,23,88,16600,17688.667044894097
2009-09-30,23,88,46500,43348.33874365175
2008-04-03,23,83,29000,28042.711885592053
2024-07-23,23,250,66000,62074.48809625054
2014-10-15,23,83,22320,23508.089547504456
2017-02-10,23,85,56500,56032.64846883982
2009-12-14,23,158,18300,17686.89349008554
2014-09-22,23,85,35400,37410.20830140143
2016-03-18,23,158,24200,25916.41073398228
2008-07-15,23,85,34500,35583.530161381655
2012-06-01,23,88,51000,50827.278649854954
2006-01-23,23,83,20000,23286.200292913818
2015-05-07,23,85,37500,39408.804828416796
2016-06-09,23,158,43200,44093.80890075753
2015-09-07,23,130,30500,31445.938465131487
2020-06-30,23,130,71000,71772.80158347417
2015-01-05,23,130,30500,32615.6823341081
2006-08-29,23,158,9700,9654.441357863532
2015-11-27,23,83,29500,32165.26457351606
2022-04-13,23,85,74800,62556.84184375262
2007-07-09,23,85,34000,33963.59941090793
2015-06-06,23,158,19950,17523.418191055236
2007-01-03,23,158,22300,25394.05772005772
2016-07-06,23,158,21800,20566.170994796546
2021-03-26,23,158,42700,43783.38989250932
2006-03-03,23,130,17700,17378.084179328656
2007-02-25,23,158,17500,15184.476552845148
2021-04-10,23,83,22800,25477.31632358286
2006-09-13,23,130,22000,22529.39382360198
2023-11-04,23,88,66500,73426.92061132658
2018-09-12,23,130,63000,53140.18061438072
2021-03-12,23,158,69800,67421.1889037603
2006-11-16,23,85,31500,30129.314183464816
2012-10-10,23,250,35000,40192.64220104907
2009-10-08,23,88,22000,27497.112421352307
2017-12-11,23,88,53200,47458.50533350618
2007-03-02,23,158,15000,15614.460631313936
2015-10-12,23,85,35000,33084.108228201105
2014-10-30,23,158,33650,32749.57090227354
2019-06-27,23,83,8500,9307.981134273632
2019-10-21,23,158,56000,59464.12660910414
2014-09-19,23,85,33500,34734.18824717956
2021-03-17,23,85,38500,36627.642545251554
2015-07-02,23,83,33500,33280.757247541726
2014-06-10,23,83,23000,45876.416382957446
2024-06-05,23,85,70500,76983.09173819702
2015-11-03,23,158,26000,25755.86933035163
2011-05-09,23,158,30400,30876.387550719544
2009-09-28,23,85,39000,33273.2928063193
2017-05-28,23,85,35800,37219.09953063565
2017-05-13,23,158,34000,34869.156565656565
2021-02-10,23,85,49000,58558.761588738045
2007-07-24,23,85,30310,30899.991005366264
2018-08-10,23,158,46600,52156.37337887024
2011-08-25,23,85,14300,14037.582441880406
2020-07-03,23,85,35000,37016.53869159517
2017-07-24,23,158,36500,36665.135045330535
2021-08-12,23,130,82500,80502.96862160713
2009-10-19,23,85,36700,33747.01090895973
2018-02-28,23,85,45000,44591.95010303706
2012-11-03,23,130,31800,34006.16975426877
2008-04-02,23,88,30000,28283.779051138627
2020-01-21,23,158,43800,41681.41630037069
2019-12-03,23,158,48500,47983.84484367186
2014-10-16,23,85,29000,33414.62135623996
2021-06-04,23,83,58000,61350.49155113599
2006-10-02,23,130,17400,17581.01696239567
2016-11-25,23,130,35300,39560.93706293707
2020-12-05,23,130,35000,35682.42181069959
2007-09-15,23,88,58000,57096.67966228099
2014-08-30,23,158,27900,33023.854894582306
2007-10-22,23,250,26500,29491.33448591713
2021-01-25,23,83,59900,71254.9494949495
2019-08-23,23,158,34000,33860.8486997636
2021-09-07,23,88,122500,122216.66666666667
2006-04-14,23,130,18100,20185.816222062902
2024-09-28,23,130,13500,13518.580417945494
2011-03-04,23,250,34900,33628.14537698761
2020-02-26,23,83,60000,58238.78787878788
2024-04-27,23,83,38000,37257.76420361248
2016-10-05,23,130,39400,35509.153322477025
2006-10-19,23,85,41000,46609.565668742885
2009-08-08,23,88,16900,17725.477608714387
2006-10-18,23,88,17150,17393.867471334575
2018-08-18,23,85,33000,33928.980203831146
2007-07-16,23,158,11500,12044.90294447034
2015-07-26,23,250,46250,46072.42046536512
2013-11-22,23,83,48101,51006.35236273305
2023-03-14,23,158,57000,58845.154357098596
2020-09-26,23,158,51000,50396.15079365079
2012-11-09,23,88,44000,49368.78049244857
2009-09-13,23,130,50000,43309.15376367
2018-10-26,23,158,37500,33069.26599877942
2017-06-14,23,158,32800,33471.4632424523
2019-11-25,23,130,62000,45073.51981595403
2019-06-25,23,130,52800,52856.61217466464
2019-12-07,23,158,49000,48583.64533813102
2018-10-31,23,158,44800,40183.31116827684
2011-05-14,23,88,31100,29769.21618319927
2008-04-07,23,158,15200,14241.356525691142
2006-04-07,23,158,14500,14997.879899630796
2014-07-07,23,83,39500,38564.89638550548
2016-10-05,23,158,32900,34096.09026546558
2020-12-04,23,85,89400,83280.94240726595
2019-12-13,23,130,22250,22140.884184967967
2022-01-26,23,158,48000,43946.666666666664
2016-04-02,23,130,63750,66931.87957278716
2015-10-31,23,85,31000,28256.977277159956
2016-03-03,23,158,17000,16301.950214796858
2016-09-13,23,85,39300,36922.46184420399
2011-07-23,23,85,49900,45780.028239136045
2019-10-11,23,85,48000,50517.64481132901
2008-04-10,23,88,42900,39117.68223071527
2016-07-28,23,130,29500,30717.119820796488
2021-06-26,23,85,85300,79152.73208783203
2023-09-18,23,88,106800,106210.0
2007-07-09,23,158,24000,21790.548286603498
2007-09-07,23,85,29800,44405.52012113035
2007-10-07,23,130,29000,27997.442858839247
2007-10-05,23,85,15000,14421.91693121693
2016-03-04,23,85,36000,38149.30928356716
2008-02-24,23,85,21000,23939.271616509483
2020-03-13,23,158,38000,39798.62931440707
2007-06-23,23,250,16500,16402.220800369494
2006-10-01,23,130,30600,30797.53254823409
2021-07-19,23,158,35000,31583.333333333332
2008-03-17,23,250,26000,25699.1970833686
2017-07-12,23,85,28750,31823.960784313727
2021-06-24,23,250,66000,61546.6105416458
2015-05-12,23,88,54000,51108.857518599674
2006-02-21,23,130,24000,25946.000591334123
2015-01-05,23,85,42000,45099.70812178843
2022-02-21,23,88,31500,34230.606060606064
2013-03-13,23,88,64900,58229.91067878784
2017-10-20,23,88,44300,45595.9382405696
2020-11-22,23,83,55000,56851.43559023822
2015-02-17,23,85,33500,32441.437825171302
2011-02-24,23,250,30500,34450.611411257545
2020-01-23,23,88,87500,88138.0
2016-02-12,23,250,36000,37069.14511291437
2006-06-10,23,158,9300,9383.67832691363
2015-12-24,23,85,19500,19544.056436046703
2007-11-20,23,130,25500,26595.433879860168
2010-06-12,23,158,42000,43718.988578551085
2009-10-06,23,158,15000,14555.551638268422
2006-12-06,23,158,21500,19419.156575063356
2013-10-03,23,88,22900,24391.907727529688
2009-10-01,23,85,28500,33301.31764378012
2017-03-18,23,158,20200,21922.418423202293
2018-01-27,23,158,45000,46158.09961836509
2015-02-06,23,85,34800,35732.35413107877
2017-10-23,23,158,36000,35530.87614237614
2014-07-14,23,158,31950,33503.963724895366
2016-10-13,23,158,36000,34670.17855077813
2016-09-29,23,130,32900,34481.39256226256
2014-03-18,23,158,27800,28002.364548007317
2018-06-01,23,85,49800,45481.21407856524
2018-10-29,23,130,13300,13953.912978524744
2009-03-21,23,83,27000,29667.545344703933
2009-04-24,23,88,29500,42075.33379983266
2024-06-09,23,158,75000,100993.5616161616
2019-11-25,23,88,74800,69988.00066758794
2016-04-01,23,85,39900,35361.96484413254
2020-11-17,23,130,83000,79418.3374821884
2007-12-25,23,88,17000,15749.176993604606
2016-09-03,23,85,30500,30889.67454695763
2007-03-26,23,158,10800,11128.608813439363
2024-08-23,23,158,42500,46891.52949787732
2016-07-22,23,83,29000,33027.483900540596
2014-12-09,23,158,26950,29291.691917715634
2014-08-21,23,158,33900,33015.90832311285
2012-06-22,23,85,24000,24586.336364385435
2018-02-09,23,158,18000,23675.326133686103
